typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","699","false","-1","N/A",,"false","699","false",,"false","363",,"363","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153","false","-1","N/A",,"false","153","false",,"false","592",,"592","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","858","URY","Uruguay","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","77300","false","-1","N/A",,"false","77300","false",,"false","34297",,"34297","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","91454","false","-1","N/A",,"false","91454","false",,"false",,"21838","21838","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49966","false","-1","N/A",,"false","49966","false",,"false",,"1741","1741","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","576","false","-1","N/A",,"false","576","false",,"false",,"908","908","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","422","LBN","Lebanon","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4829","false","-1","N/A",,"false","4829","false",,"false",,"2758","2758","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","458","MYS","Malaysia","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","675","false","-1","N/A",,"false","675","false",,"false",,"378","378","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","528","NLD","Netherlands","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","774","false","-1","N/A",,"false","774","false",,"false",,"2618","2618","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150","false","-1","N/A",,"false","150","false",,"false",,"406","406","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","699","IND","India","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11650","false","-1","N/A",,"false","11650","false",,"false",,"2150","2150","0","true","false",
"C","A","20050101","2005","52","2005","36","AUS","Australia","M","Import","792","TUR","Türkiye","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22834","false","-1","N/A",,"false","22834","false",,"false",,"10879","10879","0","true","false",
"C","A","20050101","2005","52","2005","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","291139774","true","-1","N/A",,"false","291139774","true",,"false","38018850",,"38018850","6","true","false",
"C","A","20050101","2005","52","2005","40","AUT","Austria","M","Import","56","BEL","Belgium","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1300","false","-1","N/A",,"false","1300","false",,"false","445",,"445","0","true","false",
"C","A","20050101","2005","52","2005","40","AUT","Austria","M","Import","124","CAN","Canada","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","78000","false","-1","N/A",,"false","78000","false",,"false","81067",,"81067","0","true","false",
"C","A","20050101","2005","52","2005","40","AUT","Austria","M","Import","152","CHL","Chile","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1331","true","-1","N/A",,"false","1331","true",,"false","174",,"174","6","true","false",
"C","A","20050101","2005","52","2005","40","AUT","Austria","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1461","true","-1","N/A",,"false","1461","true",,"false","189",,"189","6","true","false",
"C","A","20050101","2005","52","2005","40","AUT","Austria","M","Import","203","CZE","Czechia","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","98706600","false","-1","N/A",,"false","98706600","false",,"false","11492822",,"11492822","0","true","false",
